dataset,column,source_type,facet,timing,panel_use,normalization,description,rationale
matches,away_team_win,boolean,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the home team won the match. Coded {1} if the home team won the match and {0} otherwise.,Realized result/performance; never allowed in future-prediction panel.
matches,city_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The city in which the match was played.,"Fixture, tournament, role, venue, or appointment context."
matches,country_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the country in which the match was played.,"Fixture, tournament, role, venue, or appointment context."
matches,draw,boolean,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the match ended in a draw. Coded {1} of the match ended in a draw and {0} otherwise.,Realized result/performance; never allowed in future-prediction panel.
matches,extra_time,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the match went to extra time. Coded {1} if the match went to extra time and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
matches,group_name,text,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The name of the group.,"Fixture, tournament, role, venue, or appointment context."
matches,group_stage,boolean,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,Whether the match is a group stage match. Coded {1} if the match is a group stage match and {0} otherwise.,"Fixture, tournament, role, venue, or appointment context."
matches,home_team_code,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The 3-letter code for the home team.,"Fixture, tournament, role, venue, or appointment context."
matches,home_team_id,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The unique ID number for the home team. References {team_id} in the {teams} dataset.,"Fixture, tournament, role, venue, or appointment context."
matches,home_team_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the home team. See the {teams} dataset.,"Fixture, tournament, role, venue, or appointment context."
matches,home_team_score,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The score of the home team.,Realized result/performance; never allowed in future-prediction panel.
matches,home_team_score_margin,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The score margin for the home team.,Realized result/performance; never allowed in future-prediction panel.
matches,home_team_score_penalties,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The score of the home team in the penalty shootout. Coded {NA} if there was not a penalty shootout.,Realized result/performance; never allowed in future-prediction panel.
matches,home_team_win,boolean,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the home team won the match. Coded {1} if the home team won the match and {0} otherwise.,Realized result/performance; never allowed in future-prediction panel.
matches,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
matches,knockout_stage,boolean,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,Whether the match is a knockout stage match. Coded {1} if the match is a knockout stage match and {0} otherwise.,"Fixture, tournament, role, venue, or appointment context."
matches,match_date,date,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The date of the match in the format {YYYY-MM-DD}.,"Fixture, tournament, role, venue, or appointment context."
matches,match_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,"The unique ID number for the match. Has the format {M-####-##}, where the first number is the year of the tournament and the second number is a within-tournament counter that is assigned with the data sorted by the date of the match, then by the time of the match, then by the name of the group, and then by name of the home team.",Stable id used for joins and readback.
matches,match_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the match.,"Fixture, tournament, role, venue, or appointment context."
matches,match_time,integer,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The time of the match in the format {HH:MM}.,"Fixture, tournament, role, venue, or appointment context."
matches,penalty_shootout,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the match ended in a penalty shootout. Coded {1} if the match ended in a penalty shootout and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
matches,replay,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the match was a replay. Coded {1} if the match was a replay and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
matches,replayed,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the match was replayed. Coded {1} if the match was replayed and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
matches,result,enum,outcome_anchor,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,"The result of the match. The possible values are: {home team win}, {away team win}, {draw}, {replayed}.",Realized result/performance; never allowed in future-prediction panel.
matches,score,text,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,"The score of the match in the format {#-#}, where the first number is the score of the home team and the second number is the score of the away team.",Realized result/performance; never allowed in future-prediction panel.
matches,score_penalties,text,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The score of the penalty shootout in the format {#-#}. Coded {0-0} if there was not a penalty shootout.,Realized result/performance; never allowed in future-prediction panel.
matches,stadium_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the stadium. References {stadium_id} in the {stadiums} dataset.,Stable id used for joins and readback.
matches,stadium_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the stadium.,"Fixture, tournament, role, venue, or appointment context."
matches,stage_name,enum,context,ex_ante,predictive_allowed,categorical label; anchor enum or one-hot only in explanatory panels,"The stage of the tournament in which the match occurred. The possible values are: {first round}, {second round}, {group stage}, {round of sixteen}, {quarter-finals}, {semi-finals}, {third place match}, {final}. Note that not all values are applicable to all tournaments.","Fixture, tournament, role, venue, or appointment context."
matches,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
matches,tournament_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the tournament.,"Fixture, tournament, role, venue, or appointment context."
penalty_kicks,away_team,boolean,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the team was the away team. Coded {1} if the team was the away team and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
penalty_kicks,converted,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the penalty kick was converted. Coded {1} if the penalty kick was converted and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
penalty_kicks,family_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The family name of the player who took the penalty kick.,In-event or post-event observation; explanatory/anchor use only.
penalty_kicks,given_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The given name of the player who took the penalty kick.,In-event or post-event observation; explanatory/anchor use only.
penalty_kicks,group_name,text,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The name of the group.,In-event or post-event observation; explanatory/anchor use only.
penalty_kicks,home_team,boolean,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the team was the home team. Coded {1} if the team was the home team and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
penalty_kicks,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
penalty_kicks,match_date,date,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The date of the match in the format {YYYY-MM-DD}.,In-event or post-event observation; explanatory/anchor use only.
penalty_kicks,match_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the match in which the penalty kick occurred. References {match_id} in the {matches} dataset.,Stable id used for joins and readback.
penalty_kicks,match_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of match in which the penalty kick occurred.,In-event or post-event observation; explanatory/anchor use only.
penalty_kicks,penalty_kick_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,"The unique ID number for the penalty kick. Has the format {PK-####}, where the number is a counter that is assigned with the data sorted by the match ID, then the minute of the penalty kick.",Stable id used for joins and readback.
penalty_kicks,player_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the player who took the penalty kick. References {player_id} in the {players} dataset.,Stable id used for joins and readback.
penalty_kicks,shirt_number,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The shirt number of the player who took the penalty kick.,In-event or post-event observation; explanatory/anchor use only.
penalty_kicks,stage_name,enum,event_outcome,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,"The stage of the tournament in which the match occurred. The possible values are: {first round}, {second round}, {group stage}, {round of sixteen}, {quarter-finals}, {semi-finals}, {third place match}, {final}. Note that not all values are applicable to all tournaments.",In-event or post-event observation; explanatory/anchor use only.
penalty_kicks,team_code,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The 3-letter code for the team of the player who took the penalty kick.,In-event or post-event observation; explanatory/anchor use only.
penalty_kicks,team_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the team of the player who took the penalty kick. References {team_id} in the {teams} dataset.,Stable id used for joins and readback.
penalty_kicks,team_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the team of the player who took the penalty kick.,In-event or post-event observation; explanatory/anchor use only.
penalty_kicks,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
penalty_kicks,tournament_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the tournament.,In-event or post-event observation; explanatory/anchor use only.
player_appearances,away_team,boolean,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the team was the away team. Coded {1} if the team was the away team and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
player_appearances,family_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The family name of the player.,In-event or post-event observation; explanatory/anchor use only.
player_appearances,given_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The given name of the player.,In-event or post-event observation; explanatory/anchor use only.
player_appearances,group_name,text,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The name of the group.,In-event or post-event observation; explanatory/anchor use only.
player_appearances,home_team,boolean,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the team was the home team. Coded {1} if the team was the home team and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
player_appearances,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
player_appearances,match_date,date,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The date of the match in the format {YYYY-MM-DD}.,In-event or post-event observation; explanatory/anchor use only.
player_appearances,match_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the match. References {match_id} in the {matches} dataset.,Stable id used for joins and readback.
player_appearances,match_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the match.,In-event or post-event observation; explanatory/anchor use only.
player_appearances,player_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the player. References {player_id} in the {players} dataset.,Stable id used for joins and readback.
player_appearances,position_code,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,A 2-letter or 3-letter code that indicates the position of the player.,In-event or post-event observation; explanatory/anchor use only.
player_appearances,position_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the position of the player.,In-event or post-event observation; explanatory/anchor use only.
player_appearances,shirt_number,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The shirt number of the player.,In-event or post-event observation; explanatory/anchor use only.
player_appearances,stage_name,enum,event_outcome,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,"The stage of the tournament in which the match occurred. The possible values are: {first round}, {second round}, {group stage}, {round of sixteen}, {quarter-finals}, {semi-finals}, {third place match}, {final}. Note that not all values are applicable to all tournaments.",In-event or post-event observation; explanatory/anchor use only.
player_appearances,starter,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the player started the match. Coded {1} if the player started the match and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
player_appearances,substitute,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the player was a substitute. Coded {1} if the player was a substitute and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
player_appearances,team_code,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The 3-letter code for the team of the player.,In-event or post-event observation; explanatory/anchor use only.
player_appearances,team_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the team of the player. References {team_id} in the {teams} dataset.,Stable id used for joins and readback.
player_appearances,team_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the team of the player.,In-event or post-event observation; explanatory/anchor use only.
player_appearances,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
player_appearances,tournament_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the tournament.,In-event or post-event observation; explanatory/anchor use only.
players,birth_date,date,pedigree,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,The birth date of the player in the format {YYYY-MM-DD}.,Entity property knowable before the match/tournament.
players,count_tournaments,integer,pedigree,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The number of tournaments that the player participated in.,Entity property knowable before the match/tournament.
players,defender,boolean,pedigree,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether the player was a defender. Coded {1} if the player was a defender and {0} otherwise.,Entity property knowable before the match/tournament.
players,family_name,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The family name of the player.,Entity property knowable before the match/tournament.
players,female,boolean,pedigree,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether the player is female. Coded {1} if the player is female and {0} if the player is male.,Entity property knowable before the match/tournament.
players,forward,boolean,pedigree,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether the player was a forward. Coded {1} if the player was a forward and {0} otherwise.,Entity property knowable before the match/tournament.
players,given_name,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The given name of the player.,Entity property knowable before the match/tournament.
players,goal_keeper,boolean,pedigree,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether the player was a goal keeper. Coded {1} if the player was a goal keeper and {0} otherwise.,Entity property knowable before the match/tournament.
players,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
players,list_tournaments,text,pedigree,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,"A list of tournaments that the player participated in, separated by a comma.",Entity property knowable before the match/tournament.
players,midfielder,boolean,pedigree,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether the player was a midfielder. Coded {1} if the player was a midfielder and {0} otherwise.,Entity property knowable before the match/tournament.
players,player_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,"The unique ID number for the player. Has the format {P-#####}, where the number is a randomly drawn, uniquely identifying number.",Stable id used for joins and readback.
players,player_wikipedia_link,text,provenance,metadata,not_projected,store as provenance metadata; do not project,The name of the team of the player.,Link/provenance field.
qualified_teams,count_matches,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The number of matches that the team played in the tournament.,In-event or post-event observation; explanatory/anchor use only.
qualified_teams,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
qualified_teams,performance,text,outcome_anchor,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,The furthest stage of the tournament reached by the team.,Realized result/performance; never allowed in future-prediction panel.
qualified_teams,team_code,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The 3-letter code for the team.,In-event or post-event observation; explanatory/anchor use only.
qualified_teams,team_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the team. References {team_id} in the {teams} dataset.,Stable id used for joins and readback.
qualified_teams,team_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the team.,In-event or post-event observation; explanatory/anchor use only.
qualified_teams,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
qualified_teams,tournament_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the tournament.,In-event or post-event observation; explanatory/anchor use only.
referee_appearances,confederation_code,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The abbreviation for the confederation.,In-event or post-event observation; explanatory/anchor use only.
referee_appearances,confederation_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the confederation. References {confederation_id} in the {confederations} dataset.,Stable id used for joins and readback.
referee_appearances,confederation_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the confederation.,In-event or post-event observation; explanatory/anchor use only.
referee_appearances,country_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the referee's home country.,In-event or post-event observation; explanatory/anchor use only.
referee_appearances,family_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The family name of the referee.,In-event or post-event observation; explanatory/anchor use only.
referee_appearances,given_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The given name of the referee.,In-event or post-event observation; explanatory/anchor use only.
referee_appearances,group_name,text,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The name of the group.,In-event or post-event observation; explanatory/anchor use only.
referee_appearances,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
referee_appearances,match_date,date,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The date of the match in the format {YYYY-MM-DD}.,In-event or post-event observation; explanatory/anchor use only.
referee_appearances,match_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the match. References {match_id} in the {matches} dataset.,Stable id used for joins and readback.
referee_appearances,match_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the match.,In-event or post-event observation; explanatory/anchor use only.
referee_appearances,referee_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the referee. References {referee_id} in the {referees} dataset.,Stable id used for joins and readback.
referee_appearances,stage_name,enum,event_outcome,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,"The stage of the tournament in which the match occurred. The possible values are: {first round}, {second round}, {group stage}, {round of sixteen}, {quarter-finals}, {semi-finals}, {third place match}, {final}. Note that not all values are applicable to all tournaments.",In-event or post-event observation; explanatory/anchor use only.
referee_appearances,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
referee_appearances,tournament_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the tournament.,In-event or post-event observation; explanatory/anchor use only.
referee_appointments,confederation_code,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The abbreviation for the confederation.,"Fixture, tournament, role, venue, or appointment context."
referee_appointments,confederation_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the confederation. References {confederation_id} in the {confederations} dataset.,Stable id used for joins and readback.
referee_appointments,confederation_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the confederation.,"Fixture, tournament, role, venue, or appointment context."
referee_appointments,country_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the referee's home country.,"Fixture, tournament, role, venue, or appointment context."
referee_appointments,family_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The family name of the referee.,"Fixture, tournament, role, venue, or appointment context."
referee_appointments,given_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The given name fo the referee.,"Fixture, tournament, role, venue, or appointment context."
referee_appointments,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
referee_appointments,referee_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the referee. References {referee_id} in the {referees} dataset.,Stable id used for joins and readback.
referee_appointments,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
referee_appointments,tournament_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the tournament.,"Fixture, tournament, role, venue, or appointment context."
referees,confederation_code,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The abbreviation for the confederation.,Entity property knowable before the match/tournament.
referees,confederation_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the confederation. References {confederation_id} in the {confederations} dataset.,Stable id used for joins and readback.
referees,confederation_name,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the confederation.,Entity property knowable before the match/tournament.
referees,country_name,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the referee's home country.,Entity property knowable before the match/tournament.
referees,family_name,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The family name of the referee.,Entity property knowable before the match/tournament.
referees,female,boolean,pedigree,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether the referee is female. Coded {1} if the referee is female and {0} if the referee is male.,Entity property knowable before the match/tournament.
referees,given_name,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The given name of the referee.,Entity property knowable before the match/tournament.
referees,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
referees,referee_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,"The unique ID number for the referee. Has the format {R-####}, where the number is a counter that is assigned with the data sorted by the year of the referee's first appearance, then by the referee's family name, and then by the referee's given name.",Stable id used for joins and readback.
referees,referee_wikipedia_link,text,provenance,metadata,not_projected,store as provenance metadata; do not project,The Wikipedia link for the referee.,Link/provenance field.
squads,family_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The family name of the player.,"Fixture, tournament, role, venue, or appointment context."
squads,given_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The given name of the player.,"Fixture, tournament, role, venue, or appointment context."
squads,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
squads,player_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the player. References {player_id} in the {players} dataset.,Stable id used for joins and readback.
squads,position_code,enum,context,ex_ante,predictive_allowed,categorical label; anchor enum or one-hot only in explanatory panels,"The code for the position of the player. The possible values are: {GK}, {DF}, {MF}, {FW}.","Fixture, tournament, role, venue, or appointment context."
squads,position_name,enum,context,ex_ante,predictive_allowed,categorical label; anchor enum or one-hot only in explanatory panels,"The position of the player. The possible values are: {goal keeper}, {defender}, {midfielder}, {forward}.","Fixture, tournament, role, venue, or appointment context."
squads,shirt_number,integer,pedigree,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The shirt number of the player.,Entity property knowable before the match/tournament.
squads,team_code,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The 3-letter code for the team.,"Fixture, tournament, role, venue, or appointment context."
squads,team_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the team. References {team_id} in the {teams} dataset.,Stable id used for joins and readback.
squads,team_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the team of the player.,"Fixture, tournament, role, venue, or appointment context."
squads,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
squads,tournament_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the tournament.,"Fixture, tournament, role, venue, or appointment context."
stadiums,city_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The city in which the match was played.,"Fixture, tournament, role, venue, or appointment context."
stadiums,city_wikipedia_link,text,provenance,metadata,not_projected,store as provenance metadata; do not project,The Wikipedia link for the city in which the match was played.,Link/provenance field.
stadiums,country_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the country in which the stadium is located.,"Fixture, tournament, role, venue, or appointment context."
stadiums,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
stadiums,stadium_capacity,integer,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The approximate capacity of the stadium.,"Fixture, tournament, role, venue, or appointment context."
stadiums,stadium_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,"The unique ID number for the stadium. Has the format {S-###}, where the number is a count that is assigned with the data sorted by country, then by city, then by the name of the stadium.",Stable id used for joins and readback.
stadiums,stadium_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the stadium.,"Fixture, tournament, role, venue, or appointment context."
stadiums,stadium_wikipedia_link,text,provenance,metadata,not_projected,store as provenance metadata; do not project,The Wikipedia link for the stadium.,Link/provenance field.
substitutions,away_team,boolean,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the team was the away team. Coded {1} if the team was the away team and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
substitutions,coming_on,boolean,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,Whether the player was coming on the field. Coded {1} if the player was coming on and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
substitutions,family_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The family name of the player who was substituted.,In-event or post-event observation; explanatory/anchor use only.
substitutions,given_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The given name of the player who was substituted.,In-event or post-event observation; explanatory/anchor use only.
substitutions,going_off,boolean,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,Whether the player was going off the field. Coded {1} if the player was going off and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
substitutions,group_name,text,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The name of the group.,In-event or post-event observation; explanatory/anchor use only.
substitutions,home_team,boolean,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the team was the home team. Coded {1} if the team was the home team and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
